feeder,start_time,end_time,outage_duration_minutes
8 MILES,2023-08-20 08:00:00.0000000,2023-08-20 09:30:00.0000000,90
8 MILES,2023-08-20 14:30:00.0000000,2023-08-20 15:00:00.0000000,30
8 MILES,2023-08-21 09:00:00.0000000,2023-08-21 10:30:00.0000000,90
8 MILES,2023-08-21 14:30:00.0000000,2023-08-21 15:00:00.0000000,30
8 MILES,2023-08-21 16:30:00.0000000,2023-08-21 16:30:00.0000000,0
8 MILES,2023-08-22 01:00:00.0000000,2023-08-22 01:30:00.0000000,30
8 MILES,2023-08-22 17:00:00.0000000,2023-08-22 17:00:00.0000000,0
8 MILES,2023-08-23 05:30:00.0000000,2023-08-23 07:30:00.0000000,120
8 MILES,2023-08-25 14:30:00.0000000,2023-08-25 15:00:00.0000000,30
8 MILES,2023-08-26 08:00:00.0000000,2023-08-26 08:30:00.0000000,30
8 MILES,2023-08-26 12:00:00.0000000,2023-08-26 13:00:00.0000000,60
8 MILES,2023-08-28 04:30:00.0000000,2023-08-28 06:00:00.0000000,90
8 MILES,2023-08-29 03:30:00.0000000,2023-08-29 03:30:00.0000000,0
8 MILES,2023-08-29 05:00:00.0000000,2023-08-29 07:00:00.0000000,120
8 MILES,2023-08-29 14:00:00.0000000,2023-08-29 14:30:00.0000000,30
8 MILES,2023-08-30 00:00:00.0000000,2023-08-30 06:00:00.0000000,360
8 MILES,2023-08-30 18:00:00.0000000,2023-08-30 18:30:00.0000000,30
8 MILES,2023-08-31 09:30:00.0000000,2023-08-31 11:30:00.0000000,120
8 MILES,2023-08-31 14:30:00.0000000,2023-08-31 14:30:00.0000000,0
8 MILES,2023-08-31 17:30:00.0000000,2023-08-31 17:30:00.0000000,0
8 MILES,2023-08-31 22:00:00.0000000,2023-08-31 22:00:00.0000000,0
8 MILES,2023-09-01 00:00:00.0000000,2023-09-01 11:00:00.0000000,660
8 MILES,2023-09-01 12:30:00.0000000,2023-09-01 12:30:00.0000000,0
8 MILES,2023-09-02 14:30:00.0000000,2023-09-02 14:30:00.0000000,0
8 MILES,2023-09-02 17:30:00.0000000,2023-09-02 17:30:00.0000000,0
8 MILES,2023-09-02 18:30:00.0000000,2023-09-02 18:30:00.0000000,0
8 MILES,2023-09-02 20:00:00.0000000,2023-09-02 20:00:00.0000000,0
8 MILES,2023-09-04 13:00:00.0000000,2023-09-04 13:00:00.0000000,0
8 MILES,2023-09-05 08:30:00.0000000,2023-09-05 10:00:00.0000000,90
8 MILES,2023-09-06 14:00:00.0000000,2023-09-06 14:00:00.0000000,0
8 MILES,2023-09-07 15:00:00.0000000,2023-09-07 16:00:00.0000000,60
8 MILES,2023-09-07 19:30:00.0000000,2023-09-07 21:30:00.0000000,120
8 MILES,2023-09-09 04:30:00.0000000,2023-09-09 05:30:00.0000000,60
8 MILES,2023-09-09 17:30:00.0000000,2023-09-09 17:30:00.0000000,0
8 MILES,2023-09-10 06:00:00.0000000,2023-09-10 06:00:00.0000000,0
8 MILES,2023-09-11 07:30:00.0000000,2023-09-11 08:00:00.0000000,30
8 MILES,2023-09-12 02:30:00.0000000,2023-09-12 16:30:00.0000000,840
8 MILES,2023-09-12 18:00:00.0000000,2023-09-12 18:00:00.0000000,0
8 MILES,2023-09-13 21:30:00.0000000,2023-09-13 22:00:00.0000000,30
8 MILES,2023-09-14 01:00:00.0000000,2023-09-14 14:00:00.0000000,780
8 MILES,2023-09-15 03:30:00.0000000,2023-09-15 06:00:00.0000000,150
8 MILES,2023-09-15 17:00:00.0000000,2023-09-15 17:00:00.0000000,0
8 MILES,2023-09-17 22:00:00.0000000,2023-09-17 22:00:00.0000000,0
8 MILES,2023-09-18 01:00:00.0000000,2023-09-18 01:30:00.0000000,30
8 MILES,2023-09-18 17:00:00.0000000,2023-09-18 18:00:00.0000000,60
8 MILES,2023-09-18 22:00:00.0000000,2023-09-18 23:00:00.0000000,60
8 MILES,2023-09-19 12:00:00.0000000,2023-09-19 16:30:00.0000000,270
8 MILES,2023-09-20 04:00:00.0000000,2023-09-20 04:00:00.0000000,0
8 MILES,2023-09-20 05:00:00.0000000,2023-09-20 06:30:00.0000000,90
8 MILES,2023-09-20 17:30:00.0000000,2023-09-20 17:30:00.0000000,0
8 MILES,2023-09-21 13:30:00.0000000,2023-09-21 13:30:00.0000000,0
8 MILES,2023-09-22 02:00:00.0000000,2023-09-22 02:30:00.0000000,30
